match_id,statsbomb_xg,pred_xg,goals,shots
3825656,2.0939,2.185425239986512,2.0,26
3825657,1.5982999999999998,1.7660080561195548,1.0,19
3825660,3.1961,2.5561234522781793,3.0,25
3825671,2.3697,1.8418301374295747,3.0,14
3825676,1.9127,1.590260537047465,2.0,19
3825680,1.9045,1.656703400605424,2.0,17
3825681,1.6731,2.355799182395005,5.0,23
3825683,2.7996,2.2214156234738267,3.0,16
3825684,1.7474,1.9986137591975637,3.0,22
3825687,1.9298,2.0540074773113446,2.0,21
3825693,1.7142,1.1217417359094923,3.0,18
3825696,2.0624,2.8923781032250155,3.0,28
3825699,1.4252,1.6627065381491395,0.0,22
3825722,3.3471,2.8702967507302812,3.0,28
3825723,1.1239000000000001,1.664061121395582,3.0,20
3825736,2.664,2.642973008972123,4.0,31
3825740,2.6787,1.7621833065372712,6.0,16
3825749,2.758,2.6104891690492584,5.0,25
3825752,2.2619,1.7717429799194118,3.0,18
3825760,2.4697,2.692230607617039,4.0,19
3825761,0.9943,0.9445130432029792,0.0,12
3825764,2.7607,2.900594795050615,3.0,28
3825769,1.2128,1.3150547830778565,1.0,19
3825770,3.5496,4.869007906303954,6.0,30
3825773,3.9089,4.085871541803009,2.0,25
3825776,2.1299,1.816779409378899,2.0,20
3825784,1.0548,1.3832037047714898,0.0,17
3825787,1.5518,2.0894308793981002,1.0,25
3825795,3.0511,3.2513295016077692,2.0,21
3825804,3.565,3.0519979098011727,5.0,20
3825816,5.2372,3.860190156107626,5.0,27
3825821,2.8433,3.278603230702862,3.0,30
3825823,2.4537,2.2922478797073964,2.0,23
3825825,2.4262,3.641473149339859,0.0,28
3825827,1.3564,1.2489956559560873,1.0,19
3825829,2.4072,2.6346042457782,1.0,26
3825834,2.318,2.10324102054596,3.0,19
3825836,1.7558,1.7644875851123216,3.0,21
3825850,2.3923,2.0631066162321843,1.0,25
3825854,1.0462,1.0790525621874696,2.0,15
3825855,4.2149,3.923820531537093,4.0,35
